Change,Chg,Closing_price,Highest_price,Minimum_price,Opening_price,Turnover,VWAP,Volume,contract,data
-1.78,-0.62%,285.92,285.99,285.20,285.76,"161,117,020.00",285.66,564.00,Au99.95,2019-02-28
-1.87,-0.65%,286.02,287.98,285.10,287.08,"3,892,636,911.80",285.66,"13,607.76",Au99.99,2019-02-28
-2.24,-0.78%,285.83,288.00,285.20,287.80,"5,947,750.00",285.94,20.80,Au100g,2019-02-28
-2.14,-0.75%,283.64,285.32,283.20,285.20,"1,402,606,374.80",283.51,"4,947.28",iAu99.99,2019-02-28
-1.34,-0.47%,286.34,287.89,285.12,287.58,"18,199,013,580.00",286.35,"63,554.00",Au(T+D),2019-02-28
-1.75,-0.61%,286.80,288.70,286.00,288.70,"185,159,580.00",286.60,646.00,Au(T+N1),2019-02-28
-2.30,-0.79%,289.75,291.90,289.20,291.90,"26,305,150.00",290.35,90.60,Au(T+N2),2019-02-28
-1.46,-0.51%,286.39,287.97,285.26,287.57,"3,093,549,162.00",286.07,"10,813.60",mAu(T+D),2019-02-28
0.51,0.26%,199.20,199.20,199.20,199.20,"1,195,200.00",199.20,6.00,Pt99.95,2019-02-28
-28,-0.76%,"3,667","3,696","3,654","3,693","17,828,387,894.00","3,672","4,854,118.00",Ag(T+D),2019-02-28
-1.31,-0.46%,284.61,285.30,284.50,285.30,"203,423,340.00",284.90,714.00,Au99.95,2019-03-01
-1.53,-0.53%,284.49,288.20,284.40,288.20,"5,752,934,403.40",285.19,"20,254.00",Au99.99,2019-03-01
-1.07,-0.37%,284.76,288.00,284.21,287.00,"10,498,436.00",285.28,36.80,Au100g,2019-03-01
-1.10,-0.39%,282.54,285.30,282.40,285.30,"1,364,900,255.20",283.13,"4,820.60",iAu99.99,2019-03-01
-1.80,-0.63%,284.55,287.17,284.32,287.09,"21,844,115,520.00",285.53,"76,502.00",Au(T+D),2019-03-01
-0.65,-0.23%,285.95,288.40,285.50,288.40,"1,617,516,870.00",286.15,"5,653.00",Au(T+N1),2019-03-01
